timestamp,openTime,open,high,low,close,volume
2021-04-16 21:00:00,1618606800000,6752008.0,6759609.0,6752008.0,6757588.0,11.1
2021-04-16 21:01:00,1618606860000,6757000.0,6759079.0,6755500.0,6759079.0,3.26
2021-04-16 21:02:00,1618606920000,6757821.0,6760000.0,6757821.0,6758775.0,0.24
2021-04-16 21:03:00,1618606980000,6758781.0,6759464.0,6757563.0,6757605.0,0.62
2021-04-16 21:04:00,1618607040000,6759533.0,6761779.0,6757705.0,6759531.0,1.44
2021-04-16 21:05:00,1618607100000,6759553.0,6761779.0,6759553.0,6759848.0,1.52
2021-04-16 21:06:00,1618607160000,6760847.0,6763590.0,6759788.0,6760665.0,1.92
2021-04-16 21:07:00,1618607220000,6761188.0,6763263.0,6758350.0,6761029.0,2.08
2021-04-16 21:08:00,1618607280000,6761029.0,6762841.0,6760508.0,6762841.0,0.64
2021-04-16 21:09:00,1618607340000,6762860.0,6766377.0,6762860.0,6763890.0,2.06
2021-04-16 21:10:00,1618607400000,6763890.0,6764382.0,6760790.0,6762843.0,1.82
2021-04-16 21:11:00,1618607460000,6762886.0,6766502.0,6760890.0,6765563.0,2.82
2021-04-16 21:12:00,1618607520000,6765144.0,6769684.0,6764862.0,6766645.0,1.68
2021-04-16 21:13:00,1618607580000,6766645.0,6767029.0,6766278.0,6766278.0,0.78
2021-04-16 21:14:00,1618607640000,6767521.0,6769448.0,6765664.0,6765809.0,1.76
2021-04-16 21:15:00,1618607700000,6766129.0,6766129.0,6760061.0,6760061.0,0.98
2021-04-16 21:16:00,1618607760000,6760071.0,6762427.0,6758660.0,6758683.0,3.08
2021-04-16 21:17:00,1618607820000,6759443.0,6760813.0,6756497.0,6756497.0,1.44
2021-04-16 21:18:00,1618607880000,6757997.0,6758052.0,6754349.0,6756668.0,2.26
2021-04-16 21:19:00,1618607940000,6756689.0,6778144.0,6754840.0,6762441.0,36.98
2021-04-16 21:20:00,1618608000000,6760739.0,6766625.0,6757698.0,6766210.0,5.64
2021-04-16 21:21:00,1618608060000,6765127.0,6766618.0,6759841.0,6763806.0,5.68
2021-04-16 21:22:00,1618608120000,6764029.0,6765455.0,6763500.0,6763500.0,0.7
2021-04-16 21:23:00,1618608180000,6765184.0,6765184.0,6754632.0,6756451.0,3.12
2021-04-16 21:24:00,1618608240000,6755285.0,6759263.0,6755000.0,6756335.0,2.16
2021-04-16 21:25:00,1618608300000,6756100.0,6756842.0,6754001.0,6755000.0,0.5
2021-04-16 21:26:00,1618608360000,6755159.0,6755159.0,6750451.0,6751356.0,1.82
2021-04-16 21:27:00,1618608420000,6750551.0,6750957.0,6747193.0,6748480.0,5.38
2021-04-16 21:28:00,1618608480000,6747186.0,6747755.0,6745000.0,6745593.0,2.44
2021-04-16 21:29:00,1618608540000,6745587.0,6751045.0,6739437.0,6746849.0,24.14
2021-04-16 21:30:00,1618608600000,6746872.0,6752457.0,6745328.0,6752457.0,5.08
2021-04-16 21:31:00,1618608660000,6752071.0,6756305.0,6750562.0,6755010.0,2.64
2021-04-16 21:32:00,1618608720000,6756382.0,6756606.0,6754634.0,6754634.0,0.82
2021-04-16 21:33:00,1618608780000,6754397.0,6757263.0,6754397.0,6757263.0,1.14
2021-04-16 21:34:00,1618608840000,6757865.0,6763700.0,6757263.0,6760065.0,6.48
2021-04-16 21:35:00,1618608900000,6759411.0,6760165.0,6758053.0,6758053.0,0.64
2021-04-16 21:36:00,1618608960000,6759719.0,6759719.0,6759719.0,6759719.0,0.02
2021-04-16 21:37:00,1618609020000,6760112.0,6760115.0,6758600.0,6758601.0,0.24
2021-04-16 21:38:00,1618609080000,6758600.0,6758600.0,6749503.0,6749503.0,2.9
2021-04-16 21:39:00,1618609140000,6750038.0,6763958.0,6749055.0,6754900.0,15.18
2021-04-16 21:40:00,1618609200000,6754742.0,6756176.0,6753926.0,6754926.0,1.12
2021-04-16 21:41:00,1618609260000,6754952.0,6755000.0,6752106.0,6752106.0,1.02
2021-04-16 21:42:00,1618609320000,6752249.0,6752249.0,6742400.0,6744181.0,5.22
2021-04-16 21:43:00,1618609380000,6744200.0,6753301.0,6744200.0,6753244.0,4.08
2021-04-16 21:44:00,1618609440000,6753244.0,6754916.0,6752085.0,6753449.0,1.34
2021-04-16 21:45:00,1618609500000,6753219.0,6754841.0,6752581.0,6754841.0,0.8
2021-04-16 21:46:00,1618609560000,6754841.0,6755236.0,6753256.0,6753256.0,0.76
2021-04-16 21:47:00,1618609620000,6752690.0,6753407.0,6748778.0,6750606.0,2.54
2021-04-16 21:48:00,1618609680000,6749931.0,6755377.0,6749931.0,6753949.0,2.14
2021-04-16 21:49:00,1618609740000,6753939.0,6755000.0,6751834.0,6752434.0,2.26
2021-04-16 21:50:00,1618609800000,6752891.0,6752891.0,6749510.0,6749953.0,1.18
2021-04-16 21:51:00,1618609860000,6749560.0,6753399.0,6749560.0,6751227.0,0.88
2021-04-16 21:52:00,1618609920000,6751231.0,6751312.0,6749851.0,6749851.0,0.7
